"","X","Amplitude_ID","Merged_ID","Total_Events","Total_Sessions","Usage_Time","First_Seen","Last_Seen","Num_Purchases","Total_Spent","amplitude_id","user_id","carrier","city","country","device","device_type","dma","ip_address","language","library","os","paying","platform","region","start_version","version","gp.Active.Projects","gp.Collected.Daily.Artwork","gp.Push.Enabled","gp.camera_permission","gp.camera_roll_count","gp.daily_artwork_count","gp.photos_permission","gp.project_count","gp.push_enabled"
"1384","V2950",8176787085,"","76","3","3 minutes","Jul 17th, 2016 (UTC)","Jul 22nd, 2016 (UTC)","0","$0.00",8176787085,"CloudKit-5e20aca11898f601a605b4802aa1c5bdde342cb06e4961fdaa3d0d618780c8671f96d8a01345c477a4f5474fb49b1ad89510e2654ce09014f1075db60e517d56","Tele2","Jūrmala","Latvia","Apple iPhone","Apple iPhone 6","","78.84.2.122","Russian","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Jurmala","3.5.0","3.5.1",NA,NA,"","false",9605,0,"true",11,"false"
"1385","V2951",6593229041,"","1365","13","2 hours","Mar 3rd, 2016 (UTC)","Jul 21st, 2016 (UTC)","2","$5.98",6593229041,"CloudKit-6a481f5718bceef0e9c251da5cf8f52759dbf77c3aed1f859c48b5131ff4a7e3032bd03f6c89e36bc3162cdeab08361665dbb65f783a635ec38194568c6fc314","Verizon","Longmeadow","United States","Apple iPhone","Apple iPhone 6s","Springfield-Holyoke, MA","24.2.199.66","English","amplitude-ios/3.8.2","ios 9.3.2","true","iOS","Massachusetts","","3.5.1",NA,NA,"","true",4968,9,"true",36,"true"
"1386","V2952",8239400146,"","9","1","a few seconds","Jul 19th, 2016 (UTC)","Jul 19th, 2016 (UTC)","0","$0.00",8239400146,"CloudKit-dbdf01b191fefa4d4fee4bd78eb5126f48b5d8bd3e41422e2af198cc281556c35907fdddfcdc4dbec04a7190868a4fdf79938134166cdbde09b38d59922abc25","iPad","New Kensington","United States","Apple iPad","Apple iPad Air 2","Pittsburgh, PA","137.25.255.1","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Pennsylvania","3.5.1","3.5.1",NA,NA,"","false",0,0,"false",11,"true"
"1387","V2953",5796406380,"","20","5","2 minutes","Apr 28th, 2016 (UTC)","Jul 19th, 2016 (UTC)","0","$0.00",5796406380,"CloudKit-f8ac8a7a17553dd86cd23beac9d1ee7ad893b216411bb751e7186839e8b0b114cab24d1ad62901e9ed4612083c8175a69d5af475eb85cc86f033e5bfb1863328","Verizon","Temecula","United States","Apple iPhone","Apple iPhone 6","Los Angeles, CA","108.38.201.223","English","amplitude-ios/3.8.2","ios 10.0","","iOS","California","3.3.2","3.5.1",NA,NA,"","true",184,0,"true",11,"false"
"1388","V2954",7619203071,"","1","1","a few seconds","Jun 28th, 2016 (UTC)","Jun 28th, 2016 (UTC)","0","$0.00",7619203071,"","Telenet","Hasselt","Belgium","Apple iPad","Apple iPad 2","","84.192.104.193","Dutch","amplitude-ios/3.7.0","ios 9.3.2","","iOS","Limburg Province","3.3.3","3.3.3",NA,NA,"","false",694,0,"true",1,"false"
"1389","V2955",6117845220,"","362","10","42 minutes","May 10th, 2016 (UTC)","Jul 16th, 2016 (UTC)","0","$0.00",6117845220,"","AT&T","Levittown","United States","Apple iPhone","Apple iPhone 6s","New York, NY","98.113.250.117","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","New York","3.3.3","3.4.0",NA,NA,"","false",2024,0,"true",10,"false"
"1390","V2956",6592988824,"","21","2","9 minutes","Mar 6th, 2016 (UTC)","Jul 20th, 2016 (UTC)","0","$0.00",6592988824,"CloudKit-0e6ccd24f9bca0d119925d421c1236d3f77bee1bf5b618fcfcff1265a6aeed26681cdfcf23828936002eb1e6e520d3bdaa39ae8aa1e018f2eadb99d1029cf0a6","Virgin Mobile","Sylvania","Australia","Apple iPhone","Apple iPhone 5","","124.190.34.181","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","New South Wales","","3.5.1",NA,NA,"","false",285,0,"true",11,"false"
"1391","V2957",7707682899,"","722","9","an hour","Jul 1st, 2016 (UTC)","Jul 23rd, 2016 (UTC)","0","$0.00",7707682899,"","Rogers","Edmonton","Canada","Apple iPhone","Apple iPhone 6s","","24.114.26.57","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Alberta","3.3.3","3.5.1",NA,NA,"","true",8731,0,"true",15,"false"
"1392","V2958",5822763425,"","377","15","30 minutes","Apr 29th, 2016 (UTC)","Jul 2nd, 2016 (UTC)","0","$0.00",5822763425,"CloudKit-7564d60fbf0b8da2588005aa992a03e676be6a660dadae121445e6c1a26c214cc5e5f2f1b712bfebe4ac2f6a22478d92831fa98027d11787b3f69cad4b472d58","Verizon","Akron","United States","Apple iPhone","Apple iPhone 6 Plus","Cleveland-Akron (Canton), OH","99.30.164.224","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Ohio","3.3.2","3.4.0",NA,NA,"","true",3735,211,"true",10,"true"
"1393","V2959",8356436966,"","226","3","10 minutes","Jul 23rd, 2016 (UTC)","Jul 23rd, 2016 (UTC)","0","$0.00",8356436966,"CloudKit-551c4ad4465131200d35438ee0e70ea7a4d3ab04a46eb7f56e88b35c86f21c5a30294a227b8b2f54cc130d358a0122da18c273b9de253fe1e386c70397832715","中国电信","Taizhou","China","Apple iPhone","Apple iPhone 6s","","60.189.109.227","Chinese","amplitude-ios/3.8.2","ios 9.2.1","","iOS","Jiangsu","3.5.1","3.5.1",NA,NA,"","true",837,7,"true",12,"false"
"1394","V2960",7516232015,"","8","3","a few seconds","Jun 25th, 2016 (UTC)","Jul 5th, 2016 (UTC)","0","$0.00",7516232015,"CloudKit-91248f048c1c856884464a51340cde7ab95f9292def93717663f762c3896e48ca4f55118ec4b4d95209ac4810fb50deba9bfe20cd88c0495a9725b40ca29e9ea","TFW","Oceanside","United States","Apple iPhone","Apple iPhone 5s","San Diego, CA","174.68.115.81","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","California","3.3.3","3.3.3",NA,NA,"","false",0,0,"false",0,"false"
"1395","V2961",6595004308,"","116","2","16 minutes","Feb 7th, 2016 (UTC)","Jul 13th, 2016 (UTC)","0","$0.00",6595004308,"CloudKit-93874c670147f9935402d68e24ef3090db24439b04b2469b257c05835e5c7001414a23dd436927e402384b2b5aa52c7e8d47ccf1cf0149eb8fee9d03b9661b2c","Verizon","Charlotte","United States","Apple iPhone","Apple iPhone 6s Plus","Charlotte, NC","70.193.48.232","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","North Carolina","","3.4.0",NA,NA,"","false",4577,0,"true",2,"false"
